id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,latitude,longitude,regional,delegacia,uop
654236,2025-01-10,sexta-feira,13:57:00,RS,116,268,CANOAS,Manobra de mudança de faixa,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Reta,Sim,4,0,2,0,2,0,2,2,"-29,95042502","-51,17652939",SPRF-RS,DEL01-RS,UOP01-DEL01-RS
654244,2025-01-10,sexta-feira,15:15:00,GO,414,"356,7",COCALZINHO DE GOIAS,Transitar na contramão,Colisão frontal,Com Vítimas Fatais,Pleno dia,Crescente,Nublado,Simples,Curva,Sim,5,1,0,0,2,3,0,6,"-15,67095314","-48,70053113",SPRF-GO,DEL02-GO,UOP01-DEL02-GO
654247,2025-01-10,sexta-feira,15:20:00,SE,235,24,LARANJEIRAS,Chuva,Colisão frontal,Com Vítimas Feridas,Pleno dia,Decrescente,Chuva,Simples,Reta,Não,2,0,1,1,0,0,2,2,"-10,813502","-37,250896",SPRF-SE,DEL01-SE,UOP02-DEL01-SE
654248,2025-01-10,sexta-feira,15:00:00,BA,101,"46,2",ESPLANADA,Condutor deixou de manter distância do veículo da frente,Colisão com objeto,Com Vítimas Feridas,Pleno dia,Crescente,Chuva,Simples,Desvio Temporário,Não,3,0,2,1,0,0,3,2,"-11,88660088","-38,02732004",SPRF-SE,DEL02-SE,UOP03-DEL02-SE
654249,2025-01-10,sexta-feira,14:15:00,MS,163,"206,5",CAARAPO,Ausência de reação do condutor,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Simples,Reta,Não,2,0,1,0,0,2,1,3,"-22,65390994","-54,80646392",SPRF-MS,DEL04-MS,UOP02-DEL04-MS
654250,2025-01-10,sexta-feira,16:30:00,SE,101,"193,5",CRISTINAPOLIS,Velocidade Incompatível,Colisão transversal,Com Vítimas Feridas,Pleno dia,Crescente,Chuva,Simples,Curva,Não,2,0,0,1,1,0,1,2,"-11,44262788","-37,73258333",SPRF-SE,DEL02-SE,UOP03-DEL02-SE
654274,2025-01-10,sexta-feira,17:45:00,RS,116,"521,5",PELOTAS,Reação tardia ou ineficiente do condutor,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,Não,3,0,1,0,1,1,1,3,"-31,714441","-52,374715",SPRF-RS,DEL07-RS,UOP01-DEL07-RS
654275,2025-01-10,sexta-feira,17:30:00,CE,222,40,SAO GONCALO DO AMARANTE,Condutor deixou de manter distância do veículo da frente,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Reta,Não,2,0,2,0,0,0,2,2,"-3,68690023","-38,90730706",SPRF-CE,DEL01-CE,UOP03-DEL01-CE
654283,2025-01-10,sexta-feira,16:00:00,AL,101,"247,4",PORTO REAL DO COLEGIO,Condutor deixou de manter distância do veículo da frente,Colisão lateral mesmo sentido,Sem Vítimas,Pleno dia,Decrescente,Chuva,Dupla,Curva,Não,3,0,0,0,1,2,0,3,"-10,19937283","-36,82059635",SPRF-AL,DEL02-AL,UOP02-DEL02-AL
654284,2025-01-10,sexta-feira,14:00:00,MT,163,707,SORRISO,Ingestão de álcool pelo condutor,Colisão transversal,Sem Vítimas,Pleno dia,Decrescente,Chuva,Simples,Reta,Não,3,0,0,0,2,3,0,5,"-13,02951905","-55,89811787",SPRF-MT,DEL06-MT,UOP01-DEL06-MT
654291,2025-01-10,sexta-feira,09:00:00,CE,116,"524,8",JATI,Chuva,Colisão lateral sentido oposto,Com Vítimas Fatais,Pleno dia,Decrescente,Chuva,Simples,Curva;Declive,Não,4,1,1,1,1,0,2,2,"-7,64286","-39,02366",SPRF-CE,DEL05-CE,UOP03-DEL05-CE
654302,2025-01-10,sexta-feira,20:51:00,MS,163,"680,4",RIO VERDE DE MATO GROSSO,Acessar a via sem observar a presença dos outros veículos,Colisão transversal,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Simples,Interseção de Vias,Sim,3,0,0,1,1,3,1,5,"-18,92417173","-54,83538529",SPRF-MS,DEL06-MS,UOP02-DEL06-MS
